Ticker,Name,Sector,Industry,Universe,Volume,AverageVolume10days,MACDV_12_26_9,MACDV_H_12_26_9,MACDV_H_12_26_9_TrendUp,MACDV_50_200,OTT Uptrend,OTT Ratio,ATR_20,Signal,USI,USI Diff,USI crossed zero,Num shares,Close
OC,Owens Corning,Industrials,Building Products,S&P 400,1571900,1171300.0,-114.3990789731514,-37.3842820645003,False,-124.40685690805793,False,0.9683449434810462,4.081856022537283,None,-0.5464010720473776,-0.06269193484476432,False,24,126.41000366210938
BLKB,Blackbaud,Information Technology,Application Software,S&P 400,264900,274090.0,-56.71540667706261,-13.642658485814614,True,-124.64961439737468,False,0.9918662625601226,1.6455952329915893,None,-0.3396474813272363,-0.004891403527301275,False,60,63.38999938964844
CXM,"Sprinklr, Inc.",Information Technology,Application Software,S&P 600,2262100,1528740.0,-56.678919434912814,-4.555228447473553,False,-125.27510096987136,False,0.974982696408486,0.2410522288158847,None,-0.36950816309520096,-0.03266670070023825,False,414,7.460000038146973
IAC,IAC Inc.,Communication Services,Publishing,S&P 600,1198100,1168250.0,-87.01993296612237,-22.06701571932227,False,-126.28741514351147,False,0.9701107494483148,0.9566996016385482,None,-0.36970319962798787,-0.05342754353371343,False,104,32.150001525878906
ZD,Ziff Davis,Communication Services,Advertising,S&P 600,780500,508290.0,14.56667573181829,-18.563571901655873,False,-127.54557455238296,True,1.0181992315864221,1.5594740115318892,None,0.02700132659537127,-0.09504272093917274,False,64,35.33000183105469
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,S&P 600,139900,145540.0,-71.70034399198852,-56.780874245366576,False,-127.96449929798337,False,0.9893787863122179,0.6199040346110548,None,-0.41545255603594144,-0.06803682464312705,False,161,25.600000381469727
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,S&P 500,253600,256380.0,-53.75581000253975,3.3868224704590375,False,-128.06494450839665,False,0.982698444190655,19.345972816958763,None,-0.15967178903473947,0.007594039276651199,False,5,947.5599975585938
CHRD,Chord Energy,Energy,Oil & Gas Exploration & Production,S&P 400,842900,760410.0,-73.71165947832824,-26.970252301511742,False,-128.73347302149827,False,0.9829350846534233,3.1544113548087913,None,-0.2944054133277165,-0.06049181234920126,False,31,90.58999633789062
AMT,American Tower,Real Estate,Telecom Tower REITs,S&P 500,3154400,2979200.0,-81.82194835001982,-4.718334540824372,False,-128.99987034710435,False,0.9756177148306596,3.9059378097941084,None,-0.4019984952778756,-0.0006366190045192233,False,25,186.67999267578125
HLNE,Hamilton Lane,Financials,Asset Management & Custody Banks,S&P 400,1163300,597980.0,-177.06080940162045,-43.72852526476666,True,-130.1989208994878,False,0.9543486754038802,4.4201016962618205,None,-0.6707351695882043,-0.037338544510120086,False,22,118.26000213623047
